Year,Type,Fund_Name,Assets,Liabilities,County
2016,fire,North Park FPD Firefighter'S Pension Fund,108988.86,21534.89,Cook
2016,fire,North Riverside Firefighters Pension Fund,8824475.47,24306295.47,Cook
2016,fire,Northbrook Firefighters Pension Fund,47672809.45,82420219.76,Cook
2016,fire,Northlake FPD Firefighters Pension Fund,13881536.96,17399386.36,Cook
2016,fire,Northwest Homer FPD Firefighters Pension Fund,3536269.26,4969603.99,Champaign
2016,fire,Northwest St Clair County FPD Firefighters Pension,698226.86,959748.19,St. Clair
2016,fire,Norwood Park FPD Firefighters Pension Fund,15520937.25,30792124.77,Peoria
2016,fire,Nunda Rural FPD Firefighters Pension Fund,6767.13,252251.91,McHenry
2016,fire,Oak Brook Firefighters Pension Fund,26190149.34,46861047.32,Cook
2016,fire,Oak Forest Firefighters Pension Fund,20168560.72,27313468.83,Cook
2016,fire,Oak Lawn Firefighters Pension Fund,74534874.57,129532924.8,Cook
2016,fire,Oak Park Firefighters Pension Fund,45441706.09,106087864.1,Cook
2016,fire,Oakbrook Terrace Fire Protection District,2018057.53,4280021.28,DuPage
2016,fire,O'Fallon Fire Fighter'S Pension Fund,259408.62,0,St. Clair
2016,fire,Olney Firefighters Pension Fund,2290181.68,4065932.9,Richland
2016,fire,Orland FPD Firefighters Pension Fund,144031354,141681922.3,Cook
2016,fire,Oswego FPD Firefighters Pension Fund,13025014.52,13657128.17,Kendall
2016,fire,Ottawa Firefighters Pension Fund,13518880.79,29460337.12,LaSalle
2016,fire,Palatine Firefighters Pension Fund,65772585.13,114723598.5,Cook
2016,fire,Palatine Rural FPD Firefighters Pension Fund,11895185.36,14433181.25,Cook
2016,fire,Palos FPD Pension Fund,15601418.99,18219631.27,Cook
2016,fire,Palos Heights FPD Pension Fund,10035080.48,15331376.33,Cook
2016,fire,Paris Firefighters Pension Fund,5875505.26,10989204.44,Edgar
2016,fire,Park Forest Firefighters Pension Fund,12338010.53,25226410,Cook
2016,fire,Park Ridge Firefighters Pension Fund,42928295.77,62675809.19,Cook
2016,fire,Pekin Firefighters Pension Fund,23372962.52,59765558.77,Tazewell
2016,fire,Peoria Firefighters Pension Fund,133392658.6,244683928.8,Peoria
2016,fire,Peotone FPD Firefighters Pension Fund,1553396.64,1498473.1,Will
2016,fire,Peru Firefighters Pension Fund,2280874.47,3475855.54,LaSalle
2016,fire,Pingree Grove & Countryside FPD Firefighter'S Pens,977805.39,2872114.54,Kane
2016,fire,Plainfield FPD Firefighters Pension Fund,19308672.87,14713129.92,Kendall
2016,fire,Pleasantview FPD,34650347.73,58173576.16,Macon
2016,fire,Pontiac Firefighters Pension Fund,4688445.48,8407522.68,Livingston
2016,fire,Posen Firefighters Pension Fund,298310.9,1273710.72,Cook
2016,fire,Princeton Firefighters Pension Fund,7038238.69,9982230.05,Bureau
2016,fire,Prospect Heights FPD Firefighters Pension Fund,4436894.44,6004783.26,Cook
2016,fire,Quincy Firefighters Pension Fund,28280881.85,65358682.12,Adams
2016,fire,River Forest Firefighters Pension Fund,15720216.43,27870289,Cook
2016,fire,Riverdale Firefighters Pension Fund,5085903.21,10593100.95,Cook
2016,fire,Robbins Firefighters Pension Fund,127585.82,646174.14,Cook
2016,fire,Roberts Park FPD Firefighters Pension Fund,9640021.94,19523273.48,Cook
2016,fire,Robinson Firefighters Pension Fund,3781446.57,5984368.88,Crawford
2016,fire,Rochelle Firefighters Pension Fund,8653696.68,13013676.08,Ogle
2016,fire,Rock Falls Firefighters Pension Fund,6884076.81,9724783.19,Whiteside
2016,fire,Rock Island Firefighters Pension Fund,22563779.21,70173207.56,Rock Island
