Year,Type,Fund_Name,Assets,Liabilities
2005,police,ARLINGTON HEIGHTS POLICE PENSION FUND,59428247.57,77190962.78
2005,police,AURORA POLICE PENSION FUND,96355645.78,176977635.2
2005,police,BARRINGTON HILLS POLICE PENSION FUND,587519.59,5912750.03
2005,police,BARRINGTON POLICE PENSION FUND,14500372.36,20903359.24
2005,police,BARTLETT POLICE PENSION FUND,13288005.04,18492890.14
2005,police,BARTONVILLE POLICE PENSION FUND,1547718.17,1627215.79
2005,police,BATAVIA POLICE PENSION FUND,14205395.4,22282635.06
2005,police,BEARDSTOWN POLICE PENSION FUND,1333357.61,1840281.26
2005,police,BELLEVILLE POLICE PENSION FUND,21744548.34,42875777.4
2005,police,BELLWOOD POLICE PENSION FUND,18584498,31711624.33
2005,police,BELVIDERE POLICE PENSION FUND,9850255.75,13903174.45
2005,police,BENSENVILLE POLICE PENSION FUND,11852305.62,18009042.92
2005,police,BENTON POLICE PENSION FUND,1480692.55,3436135.25
2005,police,BERKELEY POLICE PENSION FUND,5648415,7698554.47
2005,police,BERWYN POLICE PENSION FUND,26814526.55,57601313.36
2005,police,BETHALTO POLICE PENSION FUND,3730664.64,5260299.4
2005,police,BLOOMINGDALE POLICE PENSION FUND,13587404.36,24062825.56
2005,police,BLOOMINGTON POLICE PENSION FUND,33935802.97,61166707.15
2005,police,BLUE ISLAND POLICE PENSION FUND,6129987.33,20105635.87
2005,police,BOLINGBROOK POLICE PENSION FUND,30130432.49,48407094.66
2005,police,BOURBONNAIS POLICE PENSION FUND,5972287.5,7364066.56
2005,police,BRADLEY POLICE PENSION FUND,7106861.3,10478815.56
2005,police,BRAIDWOOD POLICE PENSION FUND,645669.97,1852672.33
2005,police,BRIDGEVIEW POLICE PENSION FUND,11188058.14,22210508.25
2005,police,BROADVIEW POLICE PENSION FUND,16036025.32,24221855.15
2005,police,BROOKFIELD POLICE PENSION FUND,9473456.59,20427416.68
2005,police,BUFFALO GROVE POLICE PENSION FUND,26787308.43,41233285.67
2005,police,BURBANK POLICE PENSION FUND,18244824.63,21825623.03
2005,police,BURNHAM POLICE PENSION FUND,1803165.09,3795510.82
2005,police,BURR RIDGE POLICE PENSION FUND,7528484,9973421.45
2005,police,CAHOKIA POLICE PENSION FUND,11747040.23,15091802.8
2005,police,CAIRO POLICE PENSION FUND,1576976.83,4019367.23
2005,police,CALUMET CITY POLICE PENSION FUND,27156684.52,42925878.81
2005,police,CALUMET PARK POLICE PENSION FUND,4359935.41,9277016.37
2005,police,CANTON POLICE PENSION FUND,9422450.21,9776450.86
2005,police,CARBONDALE POLICE PENSION FUND,15103386.69,26166909.42
2005,police,CARLINVILLE POLICE PENSION FUND,2410383.87,3547248.79
2005,police,CARMI POLICE PENSION FUND,2701107.94,3939272.49
2005,police,CAROL STREAM POLICE PENSION FUND,18035707.26,27193663.67
2005,police,CARPENTERSVILLE POLICE PENSION FUND,13980736.38,27224481.2
2005,police,CARY POLICE PENSION FUND,3369633.34,6763532.28
2005,police,CASEYVILLE POLICE PENSION FUND,1584509.59,2486501.64
